Book,Chapter,Sub-Topic,DF Topic Refs,DF Topic Names (review)
Year 7 Core,5 Fractions and percentages,Working with fractions,54;171,Recognising and using fractions with denominators to 12 (manual) | Problem solving involving a fraction of an amount (gap-filled)
Year 7 Core,5 Fractions and percentages,Fractions and decimals,104;172,"Fraction and decimal equivalence for halves, quarters and fifths (manual) | Converting between any terminating decimal, fraction and percentage less than 100% (0.18)"
Year 7 Core,5 Fractions and percentages,Understanding percentages,105,Understanding percentages as values out of 100 (0.29)
Year 7 Core,5 Fractions and percentages,Percentages of amounts,130;218,"Calculating a simple percentage of an amount, using chunking (manual) | Percentage of an amount, by multiplying by an equivalent fraction (manual)"
Year 7 Core,6 Probability,The language of probability,247,Probabilities using worded terms or placed on a number line between 0 and 1 (manual)
Year 7 Core,6 Probability,Calculating probability,248,Theoretical probabilities using counts (manual)
Year 7 Core,6 Probability,More probability calculations,250,Probabilities of mutually exclusive events (manual)
Year 7 Core,6 Probability,Experimental probability,251,"Experimental probabilities, expectation and bias (0.11)"
Year 7 Core,6 Probability,Expected outcomes,251,"Experimental probabilities, expectation and bias (0.13)"
Year 7 Core,7 Ratio and proportion,Direct proportion,128;176,Multiplicative scaling with integer scale factors and ratio notation (manual) | Multiplicative scaling and numerical proportion relationships (0.17)
Year 7 Core,7 Ratio and proportion,Writing ratios,224,Simplifying ratios and forming ratios from a given context (manual)
Year 7 Core,7 Ratio and proportion,Using ratios,225,"Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
Year 7 Core,7 Ratio and proportion,"Ratios, proportions and fractions",226,"Relationship between fractions, percentages and ratio (manual)"
Year 7 Core,7 Ratio and proportion,Proportions and percentages,226,"Relationship between fractions, percentages and ratio (manual)"
Year 7 Core,8 Lines and angles,Measuring and drawing angles,111;109;112,Measuring and drawing reflex angles in degrees with a protractor (0.32) | Measuring and drawing non-reflex angles in degrees with a protractor (0.30) | Estimating the size of an angle (gap-filled)
Year 7 Core,8 Lines and angles,"Lines, angles and triangles",63;77;76,"Identifying vertical, horizontal, parallel and perpendicular lines (manual) | Types of quadrilaterals and triangles (manual) | Types of angle (gap-filled)"
Year 7 Core,8 Lines and angles,Drawing triangles accurately,137;286,Drawing 2D shapes to scale given dimensions and angles (0.11) | Drawing and constructing triangles (manual)
Year 7 Core,8 Lines and angles,Calculating angles,110;147,Sum of the angles on a straight line and angles around a point (0.07) | Vertically opposite angles (manual)
Year 7 Core,8 Lines and angles,Angles in a triangle,149;148;150,Sum of angles in a triangle (0.39) | Properties of triangle lengths (0.22) | Base angles of an isosceles triangle (0.16)
Year 7 Core,8 Lines and angles,Quadrilaterals,77;151,Types of quadrilaterals and triangles (manual) | Sum of angles in a quadrilateral (manual)
Year 7 Core,9 Sequences and graphs,Sequences,135,Introduction to sequences (0.12)
Year 7 Core,9 Sequences and graphs,Pattern sequences,135,Introduction to sequences (0.21)
Year 7 Core,9 Sequences and graphs,Coordinates and midpoints,83;265,Coordinates in the first quadrant (manual) | Midpoint of two points (manual)
Year 7 Core,9 Sequences and graphs,Extending sequences,135,Introduction to sequences (0.08)
Year 7 Core,9 Sequences and graphs,Straight-line graphs,267,Plotting a straight line from a table of values (manual)
Year 7 Core,9 Sequences and graphs,Position-to-term rules,204,Generating terms of a sequence given a position-to-term rule (0.20)
Year 7 Core,10 Transformations,Congruency and enlargements,290;294;295,Properties of congruent shapes (manual) | Describing an enlargement/dilation for a positive integer scale factor (manual) | Enlarging/dilating a shape by a given positive integer scale factor (manual)
Year 7 Core,10 Transformations,Symmetry,78;280,Properties of polygons (manual) | Rotational symmetry (0.22)
Year 7 Core,10 Transformations,Reflection,81;153;279,Reflecting a shape in a mirror line (no axes) (manual) | Reflecting a shape on axes using a given mirror line (manual) | Describing a reflection (0.18)
Year 7 Core,10 Transformations,Rotation,281;282,Rotating a shape by a given angle around a given point (manual) | Describing a rotation (0.36)
Year 7 Core,10 Transformations,Translations and combined transformations,82;374;375;378,Translating a shape using directional language (no axes) (manual) | Translations of shapes by a vector (0.12) | Describing translations using vector notation (manual) | Combining transformations (manual)
Year 8 Core,1 Number,Calculations,115,Order of operations (no powers and roots) (0.12)
Year 8 Core,1 Number,Divisibility and division,91;92;163,Completing divisions with remainders as integers (manual) | Completing divisions with remainders as fractions and decimals (manual) | Divisibility laws from 3 to 11 and dealing with larger divisors (0.14)
Year 8 Core,1 Number,Calculating with negative integers,155;156,Adding or subtracting a mixture of positive and negative numbers (manual) | Multiplying or dividing a mixture of positive and negative numbers (0.18)
Year 8 Core,1 Number,Powers and roots,157,Roots and further powers (0.33)
Year 8 Core,1 Number,"Powers, roots and brackets",157;158,Roots and further powers (manual) | Numerical index laws (basic) (manual)
Year 8 Core,1 Number,"More powers, multiples and factors",161;162,Prime factorisation of a number (0.16) | Lowest Common Multiple or Highest Common Factor by prime factorisation (manual)
Year 8 Core,2 Area and volume,Area of a triangle,140;185;182,"Area of a triangle (0.64) | Related shape problems (0.21) | Area of composite shapes using rectangles and triangles (orphan, 0.17)"
Year 8 Core,2 Area and volume,Area of a parallelogram and a trapezium,139;184,Area of a parallelogram (0.36) | Area of trapeziums (0.16)
Year 8 Core,2 Area and volume,Volume of cubes and cuboids,144;145;230,"Volume of rectilinear prisms using unit length blocks (0.12) | Volume of a cube or cuboid (manual) | Problem solving involving volume of a cuboid (orphan, 0.10)"
Year 8 Core,2 Area and volume,2D representations of 3D solids,143;228;229,"Nets of 3D shapes (manual) | Front elevation, side elevation and plan of a 3D shape (manual) | Draw 3D shapes on isometric paper (manual)"
Year 8 Core,2 Area and volume,Surface area of cubes and cuboids,232,Surface area of a cuboid and prisms (0.21)
Year 8 Core,2 Area and volume,Measures,323,Converting between units of area and volume (manual)
Year 8 Core,"3 Statistics, graphs and charts",Pie charts,246;131,Pie charts with any proportion (0.28) | Pie charts with simple fractions and percentages (0.21)
Year 8 Core,"3 Statistics, graphs and charts",Using tables,235;236,Reading and interpreting ungrouped frequency tables (manual) | Mean from ungrouped frequency tables (0.09)
Year 8 Core,"3 Statistics, graphs and charts",Stem and leaf diagrams,240,Stem-and-leaf diagrams (0.57)
Year 8 Core,"3 Statistics, graphs and charts",Comparing data,403,Comparing data sets using different representations (0.28)
Year 8 Core,"3 Statistics, graphs and charts",Scatter graphs,244;245,Scatter graphs/scatterplots and correlation (0.25) | Line of best fit (manual)
Year 8 Core,"3 Statistics, graphs and charts",Misleading graphs,316,Analysing graphical representations (manual)
Year 8 Core,4 Expressions and equations,Algebraic powers,194;190,"Algebraic index laws (basic) (0.19) | Algebraic terminology (orphan, 0.20)"
Year 8 Core,4 Expressions and equations,Expressions and brackets,252,Expanding a single bracket (manual)
Year 8 Core,4 Expressions and equations,Factorising expressions,253,Factorising out a single term (manual)
Year 8 Core,4 Expressions and equations,One-step equations,133;199;195,"Function machines (orphan, 0.10) | Solving linear equations where the variable appears on one side of the equation only (manual) | Function machines involving decimals, negative numbers and algebraic inputs (gap-filled)"
Year 8 Core,4 Expressions and equations,Two-step equations,199,Solving linear equations where the variable appears on one side of the equation only (manual)
Year 8 Core,4 Expressions and equations,The balancing method,199,Solving linear equations where the variable appears on one side of the equation only (manual)
Year 8 Core,5 Real-life graphs,Conversion graphs,178,Conversion graphs (0.56)
Year 8 Core,5 Real-life graphs,Distance–time graphs,327,Constructing and reading distance-time graphs (0.29)
Year 8 Core,5 Real-life graphs,Line graphs,114;332,Interpreting and presenting data in simple graphs (manual) | Real-life linear graphs (0.18)
Year 8 Core,5 Real-life graphs,More line graphs,332,Real-life linear graphs (0.18)
Year 8 Core,5 Real-life graphs,Real-life graphs,114;332,Interpreting and presenting data in simple graphs (manual) | Real-life linear graphs (0.20)
Year 8 Core,5 Real-life graphs,Curved graphs,114;332,"Interpreting and presenting data in simple graphs (manual, best available - no strong direct match) | Real-life linear graphs (0.11)"
Year 8 Core,6 Decimals and ratio,Ordering decimals and rounding,71;75,Compare decimals (manual) | Rounding a number to a given number of decimal places (manual)
Year 8 Core,6 Decimals and ratio,Place value calculations,48;70,"Related number facts with place value (manual) | Multiplying and dividing by 10, 100, 1000, including decimals (manual)"
Year 8 Core,6 Decimals and ratio,Calculations with decimals,74;122;123;124;125,Adding and subtracting decimal numbers (manual) | Multiplying a decimal by an integer (manual) | Multiplying decimal numbers (manual) | Dividing a decimal by an integer (manual) | Dividing by decimal numbers (manual)
Year 8 Core,6 Decimals and ratio,Ratio and proportion with decimals,224;225,"Simplifying ratios and forming ratios from a given context (manual) | Finding a quantity within a ratio where either the total amount, a particular amount or a difference in an amount is given (manual)"
Year 8 Core,7 Lines and angles,Quadrilaterals,77;151,Types of quadrilaterals and triangles (manual) | Sum of angles in a quadrilateral (manual)
Year 8 Core,7 Lines and angles,Alternate angles and proof,262,"Alternate, corresponding and co-interior angles (0.22)"
Year 8 Core,7 Lines and angles,Angles in parallel lines,262;263,"Alternate, corresponding and co-interior angles (0.32) | Algebraic expressions and equations using angle facts (manual)"
Year 8 Core,7 Lines and angles,Exterior and interior angles,261;262,"Interior and exterior angles of regular and irregular polygons (0.22) | Alternate, corresponding and co-interior angles (0.19)"
Year 8 Core,7 Lines and angles,Solving geometric problems,261;262;263,"Interior and exterior angles of regular and irregular polygons (manual) | Alternate, corresponding and co-interior angles (manual) | Algebraic expressions and equations using angle facts (manual)"
Year 8 Core,8 Calculating with fractions,Ordering fractions,175;116,"Comparing and ordering fractions, decimal and percentages (0.27) | Comparing and ordering fractions with different denominators. (0.18)"
Year 8 Core,8 Calculating with fractions,Adding and subtracting fractions,117;100,Adding and subtracting fractions with any denominator (0.27) | Adding and subtracting fractions where the denominators are multiples of each other (0.20)
Year 8 Core,8 Calculating with fractions,Multiplying fractions,120;165;167;119,Multiplying proper fractions with no simplifying (manual) | Further multiplying proper fractions (including simplification) (manual) | Multiplying fractions involving a mixed number (0.34) | Multiplying fractions and mixed numbers by an integer (0.25)
Year 8 Core,8 Calculating with fractions,Dividing fractions,121;168;166,Dividing fractions by integers (0.24) | Dividing fractions involving a mixed number (0.24) | Dividing proper and improper fractions (0.21)
Year 8 Core,8 Calculating with fractions,Calculating with mixed numbers,168;119;167;101;102;103;118,"Dividing fractions involving a mixed number (0.22) | Multiplying fractions and mixed numbers by an integer (0.21) | Multiplying fractions involving a mixed number (0.20) | Converting between mixed numbers and improper fractions (orphan, 0.25) | Adding and subtracting mixed numbers with the same denominator (orphan, 0.21) | Adding and subtracting mixed numbers where one denominator is a multiple of another (orphan, 0.20) | Adding and subtracting mixed numbers with different denominators (orphan, 0.20)"
Year 8 Core,9 Straight-line graphs,Direct proportion on graphs,176;267,Multiplicative scaling and numerical proportion relationships (0.14) | Plotting a straight line from a table of values (manual)
Year 8 Core,9 Straight-line graphs,Gradients,270,Gradient of a line (manual)
Year 8 Core,9 Straight-line graphs,Equations of straight lines,269;271;272,x and y intercepts of a line (manual) | Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax+by=c) (manual) | Determining the equation of a straight line in slope-intercept or standard form (manual)
Year 8 Core,"10 Percentages, decimals and fractions",Fractions and decimals,174;175;172,"Converting between terminating decimals, fractions and percentages greater than 100% (0.18) | Comparing and ordering fractions, decimal and percentages (0.17) | Converting between any terminating decimal, fraction and percentage less than 100% (0.16)"
Year 8 Core,"10 Percentages, decimals and fractions",Equivalent proportions,105,Understanding percentages as values out of 100 (manual)
Year 8 Core,"10 Percentages, decimals and fractions",Writing percentages,106,Basic percentage and decimal equivalence (manual)
Year 8 Core,"10 Percentages, decimals and fractions",Percentages of amounts,130;219,"Calculating a simple percentage of an amount, using chunking (manual) | Percentage of an amount, using decimal multipliers (manual)"
Year 9 Core,1 Indices and standard form,Indices,158,Numerical index laws (basic) (manual)
Year 9 Core,1 Indices and standard form,Calculations and estimates,188;160,Estimating by rounding (manual) | Using a scientific calculator (manual)
Year 9 Core,1 Indices and standard form,More indices,298;394,Negative indices (manual) | Fractional indices (manual)
Year 9 Core,1 Indices and standard form,Standard form,301;302;303;304,Conversion of large numbers to and from standard form/scientific notation (0.20) | Conversion of small numbers to and from standard form/scientific notation (0.21) | Adding or subtracting numbers in standard form/scientific notation (0.21) | Multiplying and dividing numbers in standard form/scientific notation (0.20)
Year 9 Core,2 Expressions and formulae,Solving equations,199;257;258,"Solving linear equations where the variable appears on one side of the equation only (manual) | Solving linear equations where the variable appears on both sides of the equation (manual) | Solving equations involving integer powers or roots (extension, 0.18)"
Year 9 Core,2 Expressions and formulae,Substituting into expressions,196;197,"Further substitution with positive integers (including powers, roots and brackets) (manual) | Substitution with decimals, negative integers and fractions (0.11)"
Year 9 Core,2 Expressions and formulae,Writing and using formulae,198;197,"Forming linear algebraic expressions and formulae from a given context (manual) | Substitution with decimals, negative integers and fractions (0.11)"
Year 9 Core,2 Expressions and formulae,Using and rearranging formulae,197;201,"Substitution with decimals, negative integers and fractions (0.11) | Changing the subject where the variable appears once only, excluding brackets (manual)"
Year 9 Core,2 Expressions and formulae,Index laws and brackets,194;158;192;191;252;253,"Algebraic index laws (basic) (0.18) | Numerical index laws (basic) (0.17) | Dividing single algebraic terms (no index laws) (0.16) | Multiplying single algebraic terms (no index laws) (0.16) | Expanding a single bracket (orphan, 0.14) | Factorising out a single term (orphan, 0.15)"
Year 9 Core,2 Expressions and formulae,Expanding double brackets,299;300,Expanding double brackets (0.47) | Expanding three (or more) brackets (0.20)
Year 9 Core,3 Dealing with data,Planning a survey,352;344,Planning a statistical enquiry (0.12) | Types of data (gap-filled)
Year 9 Core,3 Dealing with data,Collecting data,346,Data collection methods (excluding experiments) (manual)
Year 9 Core,3 Dealing with data,Calculating averages,132;207,"Mean as an average (manual) | Mode, median, range from listed data (manual)"
Year 9 Core,3 Dealing with data,Displaying and analysing data,316,Analysing graphical representations (0.08)
Year 9 Core,3 Dealing with data,Presenting and comparing data,403,Comparing data sets using different representations (0.21)
Year 9 Core,4 Multiplicative reasoning,Enlargement,294;295;296;297,Describing an enlargement/dilation for a positive integer scale factor (0.17) | Enlarging/dilating a shape by a given positive integer scale factor (manual) | Describing an enlargement/dilation for a positive fractional scale factor (0.16) | Enlarging/dilating a shape by a positive fractional scale factor (manual)
Year 9 Core,4 Multiplicative reasoning,Negative and fractional scale factors,296;377;376;297,Describing an enlargement/dilation for a positive fractional scale factor (0.23) | Describing enlargements/dilations for a negative scale factor (0.22) | Enlargement/dilation of shapes by a negative scale factor (0.22) | Enlarging/dilating a shape by a positive fractional scale factor (0.21)
Year 9 Core,4 Multiplicative reasoning,Percentage change,215;361;221;220;359;214,"Percentage change (0.42) | Compound percentage problems with unknown period or step percentage change (0.28) | Value after a general percentage change, using decimal multipliers (0.27) | Value after a simple percentage change, using non-calculator methods (0.26) | Calculating values after compound percentage changes (0.22) | Determining what percentage one number is of another (orphan, 0.11)"
Year 9 Core,4 Multiplicative reasoning,Compound measures,331;330;329,"Convert between units for compound measures (0.34) | Other compound measures (excluding speed, pressure and density) (0.28) | Pressure (orphan, manual relocation)"
Year 9 Core,4 Multiplicative reasoning,Direct and inverse proportion,176;386,Multiplicative scaling and numerical proportion relationships (0.28) | Algebraic direct and inverse proportion (0.25)
Year 9 Core,5 Constructions,Using scales,283,Scale drawings including map scales (0.08)
Year 9 Core,5 Constructions,Basic constructions,284,Constructions with lines and angles (manual)
Year 9 Core,5 Constructions,Constructing triangles,286,Drawing and constructing triangles (0.26)
Year 9 Core,5 Constructions,Using accurate scale diagrams,283,Scale drawings including map scales (manual)
Year 9 Core,"6 Sequences, inequalities, equations and proportion",nth term of arithmetic sequences,205;206;202;371,"nth term formula for arithmetic sequences (no standard formulae) (0.38) | Determining if a term belongs in an arithmetic sequence (0.21) | Distinguishing between different types of sequences (gap-filled) | nth term formula more complicated sequences (challenge extension, gap-filled)"
Year 9 Core,"6 Sequences, inequalities, equations and proportion",Non-linear sequences,369;370,nth term formula for a quadratic sequence (manual) | nth term formula for a geometric sequence (no standard formulae) (manual)
Year 9 Core,"6 Sequences, inequalities, equations and proportion",Inequalities,309;339,Understanding algebraic statements of inequality (manual) | Solving linear inequalities in one variable (manual)
Year 9 Core,"6 Sequences, inequalities, equations and proportion",Solving equations,199;257;258,"Solving linear equations where the variable appears on one side of the equation only (manual) | Solving linear equations where the variable appears on both sides of the equation (manual) | Solving equations involving integer powers or roots (extension, 0.17)"
Year 9 Core,"6 Sequences, inequalities, equations and proportion",Proportion,176;386,Multiplicative scaling and numerical proportion relationships (0.06) | Algebraic direct and inverse proportion (manual)
Year 9 Core,"7 Circles, Pythagoras and prisms",Circumference of a circle,209,Circumference of a full circle (0.45)
Year 9 Core,"7 Circles, Pythagoras and prisms",Area of a circle,210;213,Area of a full circle (0.40) | Area of composite shapes involving circles (0.17)
Year 9 Core,"7 Circles, Pythagoras and prisms",Pythagoras' theorem,288;289,Pythagoras' theorem in 2D (excluding surds) (manual) | Distance between two points given their coordinates (0.26)
Year 9 Core,"7 Circles, Pythagoras and prisms",Prisms and cylinders,142;231;232;233;234,Properties of prisms and cylinders (0.34) | Volume of a prism (manual) | Surface area of a cuboid and prisms (manual) | Volume of a cylinder (manual) | Surface area of a cylinder (manual)
Year 9 Core,"7 Circles, Pythagoras and prisms",Errors and bounds,189;310,Rounding errors (round-off errors) (0.16) | Upper and lower bound of rounded values or identifying an error interval (manual)
Year 9 Core,8 Graphs,Using y = mx + c,271;273,Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax+by=c) (manual) | Drawing a line from its equation (0.10)
Year 9 Core,8 Graphs,More straight-line graphs,269;332;272;267;271;268,"x and y intercepts of a line (0.24) | Real-life linear graphs (0.21) | Determining the equation of a straight line in slope-intercept or standard form (0.19) | Plotting a straight line from a table of values (0.16) | Understanding the equation of a straight line in slope-intercept form (y=mx+c) or standard form (ax+by=c) (0.15) | Relationship between a line and its equation (orphan, 0.15)"
Year 9 Core,8 Graphs,Simultaneous equations,275;276;419;421,Solving linear simultaneous equations/systems of equations using graphical methods (0.29) | Solving linear simultaneous equations/systems of equations using elimination or substitution (0.25) | Solving non-linear simultaneous equations/systems of equations by substitution (0.22) | Using graphs to count solutions and find approximate solutions to equations (manual)
Year 9 Core,8 Graphs,Graphs of quadratic functions,366;368,Plotting quadratic graphs from a table of values (manual) | Quadratic graphs and their features (manual)
Year 9 Core,8 Graphs,More non-linear graphs,422;423;426,"Plotting reciprocal graphs (manual) | Plotting exponential graphs (manual) | Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations (manual)"
Year 9 Core,9 Probability,Mutually exclusive events,250,Probabilities of mutually exclusive events (0.44)
Year 9 Core,9 Probability,Experimental and theoretical probability,251;248,"Experimental probabilities, expectation and bias (0.20) | Theoretical probabilities using counts (orphan, 0.15)"
Year 9 Core,9 Probability,Sample space diagrams,249,Sample space diagrams (0.55)
Year 9 Core,9 Probability,Two-way tables,238,Two-way tables (0.48)
Year 9 Core,9 Probability,Venn diagrams,242;356;355;357,Construct Venn diagrams (0.26) | Probabilities from Venn diagrams of frequencies (using set notation) (0.25) | Probabilities from Venn diagrams of frequencies (no set notation) (0.23) | Conditional probability (no set notation) (0.16)
Year 9 Core,10 Comparing shapes,Congruent and similar shapes,291;292;290;129,"Properties of similar shapes (0.32) | Determine unknown lengths in similar shapes (0.22) | Properties of congruent shapes (0.21) | Similar shapes with integer scale factors (orphan, 0.30)"
Year 9 Core,10 Comparing shapes,Ratios in triangles,129,"Similar shapes with integer scale factors (manual, reused)"
Year 9 Core,10 Comparing shapes,The tangent ratio,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
Year 9 Core,10 Comparing shapes,The sine ratio,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
Year 9 Core,10 Comparing shapes,The cosine ratio,321,Trigonometry to determine side lengths in a right-angled triangle (manual)
Year 9 Core,10 Comparing shapes,Using trigonometry to find angles,322,Trigonometry to determine angles in a right-angled triangle (manual)
GCSE Higher,1 Number,Number problems and reasoning,380;381,Listing all combinations (manual) | Product rule for counting (Fundamental Counting Principle) (manual)
GCSE Higher,1 Number,Place value and estimating,186;188,"Estimating measures in context (orphan, 0.12) | Estimating by rounding (orphan, 0.11)"
GCSE Higher,1 Number,HCF and LCM,96;162,Highest Common Factor and Lowest Common Multiple by listing (manual) | Lowest Common Multiple or Highest Common Factor by prime factorisation (0.22)
GCSE Higher,1 Number,Calculating with powers (indices),157;158,Roots and further powers (manual) | Numerical index laws (basic) (0.10)
GCSE Higher,1 Number,"Zero, negative and fractional indices",395;394;298;358,"Solving equations involving negative and fractional indices and surds (0.27) | Fractional indices (0.16) | Negative indices (orphan, 0.11) | Expressing a power using a different base (gap-filled)"
GCSE Higher,1 Number,Powers of 10 and standard form,301;302;303;304,Conversion of large numbers to and from standard form/scientific notation (0.20) | Conversion of small numbers to and from standard form/scientific notation (0.24) | Adding or subtracting numbers in standard form/scientific notation (0.27) | Multiplying and dividing numbers in standard form/scientific notation (manual)
GCSE Higher,1 Number,Surds,334;336;337;335,Simplifying surds (0.19) | Adding and subtracting surds (0.18) | Expanding brackets with surds (0.18) | Multiplying and dividing surds (0.17)
GCSE Higher,2 Algebra,Algebraic indices,194,Algebraic index laws (basic) (0.11)
GCSE Higher,2 Algebra,Expanding and factorising,252;299;253;362;363,Expanding a single bracket (manual) | Expanding double brackets (manual) | Factorising out a single term (manual) | Factorising quadratic expressions given in the form x^2 + bx + c (manual) | Factorising the difference of two squares (manual)
GCSE Higher,2 Algebra,Equations,199;257;367;200;259;439;440,Solving linear equations where the variable appears on one side of the equation only (manual) | Solving linear equations where the variable appears on both sides of the equation (manual) | Solving quadratic equations by factorisation (manual) | Solving equations involving integer powers and their roots as inverses (gap-filled) | Forming and solving linear equations from a given context (excluding angles) (gap-filled) | Trial and improvement to approximate a solution to an equation (gap-filled) | General iterative processes (gap-filled)
GCSE Higher,2 Algebra,Formulae,198;197;201,"Forming linear algebraic expressions and formulae from a given context (manual) | Substitution with decimals, negative integers and fractions (manual) | Changing the subject where the variable appears once only, excluding brackets (manual)"
GCSE Higher,2 Algebra,Linear sequences,205;371,"nth term formula for arithmetic sequences (no standard formulae) (manual) | nth term formula more complicated sequences (challenge extension, gap-filled)"
GCSE Higher,2 Algebra,Non-linear sequences,369;370,nth term formula for a quadratic sequence (manual) | nth term formula for a geometric sequence (no standard formulae) (manual)
GCSE Higher,2 Algebra,More expanding and factorising,364;300;365,Factorising a quadratic where the coefficient of the x^2 term is not 1 (manual) | Expanding three (or more) brackets (0.09) | Factorising more difficult expressions by combining factorisation techniques or substitution of a variable (manual)
GCSE Higher,3 Interpreting and representing data,Statistical diagrams 1,65;131;240;315,Bar charts and vertical line charts (manual) | Pie charts with simple fractions and percentages (manual) | Stem-and-leaf diagrams (manual) | Frequency polygons (manual)
GCSE Higher,3 Interpreting and representing data,Time series,400,Time series and moving averages (0.28)
GCSE Higher,3 Interpreting and representing data,Scatter graphs,244,Scatter graphs/scatterplots and correlation (0.28)
GCSE Higher,3 Interpreting and representing data,Line of best fit,245;332,Line of best fit (0.57) | Real-life linear graphs (0.27)
GCSE Higher,3 Interpreting and representing data,Averages and range,207;237,"Mode, median, range from listed data (0.09) | Median, mode and range from ungrouped frequency tables (manual)"
GCSE Higher,3 Interpreting and representing data,Statistical diagrams 2,239;246,Dual and stacked bar charts (manual) | Pie charts with any proportion (manual)
