Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
31,40b,40,1,No,274 + 159 =,433,423,443,"Add the units: 4+9=13, write 3 carry 1. Add tens: 7+5+1=13, write 3 carry 1. Add hundreds: 2+1+1=4. Answer: 433.","Line up the digits by place value and add column by column, carrying where needed.",,,,,,,
32,40c,40,1,No,3456 + 2178 =,5634,5624,5644,"Add each column from the right, carrying as needed: 3456+2178=5634.","Work right to left, carrying between each column.",,,,,,,
33,40e,40,2,No,124 + 356 + 89 + 7 =,576,566,586,"Add the numbers together in stages, carrying as needed: 124+356=480, 480+89=569, 569+7=576.","Add the numbers two at a time, carrying between each step.",,,,,,,
34,40e,40,2,No,215 + 340 + 62 + 9 =,626,616,636,"Add the numbers in stages: 215+340=555, 555+62=617, 617+9=626.","Add the numbers two at a time, carrying between each step.",,,,,,,
35,40f,40,3,No,A shop sold 1248 items in January and 976 in February. How many items in total?,2224,2214,2234,1248+976=2224.,"Add the two amounts using column addition, carrying as needed.",,,,,,,
36,40f,40,2,No,A school has 342 boys and 289 girls. How many pupils are there in total?,631,621,641,342+289=631.,Add the two amounts using column addition.,,,,,,,
37,40g,40,3,No,☐ + 367 = 602,235,245,225,602-367=235.,Subtract 367 from 602 to find the missing number.,,,,,,,
38,40g,40,2,No,25 + ☐ = 61,36,46,26,61-25=36.,Subtract 25 from 61 to find the missing number.,,,,,,,
39,40h,40,3,No,"4☐8 + 215 = 663, find the missing digit.",4,3,5,"663 - 215 = 448, so the missing digit in the tens place is 4.","Subtract 215 from 663 to find the missing number, then read off the digit.",,,,,,,
40,40h,40,3,No,"3☐6 + 248 = 594, find the missing digit.",4,3,5,"594-248=346, so the missing digit in the tens place is 4.","Subtract 248 from 594 to find the missing number, then read off the digit.",,,,,,,
41,41a,41,1,No,83 - 46 =,37,47,33,"Exchange a ten to subtract the units: 13-6=7, then 7-4=3 tens. Answer: 37.",You'll need to exchange a ten to subtract the units.,,,,,,,
42,41b,41,1,No,62 - 37 =,25,35,15,"Exchange a ten to subtract the units: 12-7=5, then 5-3=2 tens. Answer: 25.",You'll need to exchange a ten to subtract the units.,,,,,,,
43,41b,41,1,No,91 - 58 =,33,43,23,"Exchange a ten to subtract the units: 11-8=3, then 8-5=3 tens. Answer: 33.",You'll need to exchange a ten to subtract the units.,,,,,,,
44,41c,41,1,No,563 - 241 =,322,312,332,"Subtract each column: 3-1=2, 6-4=2, 5-2=3. Answer: 322.",Subtract each column from right to left.,,,,,,,
45,41d,41,2,No,502 - 268 =,234,244,334,Exchange across the columns: 502-268=234.,Exchange from the hundreds column when the tens digit is 0.,,,,,,,
46,41e,41,2,No,4235 - 1867 =,2368,2378,2358,Subtract with exchanging across columns: 4235-1867=2368.,Exchange across the columns as needed.,,,,,,,
47,41g,41,3,No,A warehouse has 6042 items. 3785 are shipped out. How many remain?,2257,2247,2267,6042-3785=2257.,"Subtract using column subtraction, exchanging across multiple columns.",,,,,,,
48,41g,41,2,No,A tank holds 500 litres. 268 litres are used. How much remains?,232,242,222,500-268=232.,"Subtract using column subtraction, exchanging as needed.",,,,,,,
49,41h,41,3,No,☐ - 2478 = 1356,3834,3824,3844,1356+2478=3834.,Add the two known numbers to find the missing number.,,,,,,,
50,41h,41,2,No,☐ - 145 = 259,404,394,414,259+145=404.,Add the two known numbers to find the missing number.,,,,,,,
51,41i,41,3,No,"6☐3 - 249 = 424, find the missing digit.",7,6,8,"424 + 249 = 673, so the missing digit in the tens place is 7.",Add 249 and 424 together to find the missing number.,,,,,,,
52,41i,41,3,No,"8☐4 - 356 = 428, find the missing digit.",7,6,8,"428+356=784, so the missing digit in the tens place is 7.",Add 356 and 428 together to find the missing number.,,,,,,,
53,48a,48,1,No,"Given that 23 + 45 = 68, work out 230 + 450.",680,68,6800,"Both numbers are 10 times bigger, so the answer is 10 times bigger: 68 x 10 = 680.",Use the given fact and scale it up by the same amount as the question.,,,,,,,
54,48a,48,1,No,"Given that 34 + 52 = 86, work out 340 + 520.",860,86,8600,"Both numbers are 10 times bigger, so the answer is 10 times bigger: 86 x 10 = 860.",Use the given fact and scale it up by the same amount as the question.,,,,,,,
55,48b,48,1,No,"Given that 8 x 5 = 40, work out 8 x 500.",4000,400,40000,"500 is 5 x 100, so the answer is 100 times bigger: 40 x 100 = 4000.","Work out how many times bigger the changed number is, then scale the fact.",,,,,,,
56,48b,48,1,No,"Given that 6 x 7 = 42, work out 6 x 70.",420,42,4200,"70 is 7 x 10, so the answer is 10 times bigger: 42 x 10 = 420.",One number has been multiplied by 10 — do the same to the fact.,,,,,,,
57,48c,48,2,No,"Given that 63 ÷ 9 = 7, work out 630 ÷ 9.",70,7,700,"630 is 63 x 10, so 630 ÷ 9 = 7 x 10 = 70.",Use the given fact and scale it up by the same amount as the question.,,,,,,,
58,48d,48,3,No,"Given that 12 x 5 = 60, work out 6000 ÷ 12.",500,50,5000,"6000 is 60 x 100, so 6000 ÷ 12 = 5 x 100 = 500.","Use the multiplication fact in reverse, scaled up.",,,,,,,
59,48d,48,2,No,"Given that 8 x 6 = 48, work out 480 ÷ 8.",60,6,600,"480 is 48 x 10, so 480 ÷ 8 = 6 x 10 = 60.",Use the multiplication fact in reverse.,,,,,,,
60,48d,48,2,No,"Given that 9 x 4 = 36, work out 360 ÷ 9.",40,4,400,"360 is 36 x 10, so 360 ÷ 9 = 4 x 10 = 40.",Use the multiplication fact in reverse.,,,,,,,
61,48e,48,3,No,"Given that 3 x 8 = 24, work out 300 x 80.",24000,2400,240000,"300 is 100 times bigger and 80 is 10 times bigger, so the answer is 1000 times bigger: 24 x 1000 = 24000.",Multiply the two scale factors together to find the overall scale-up.,,,,,,,
62,48e,48,3,No,"Given that 4 x 9 = 36, work out 40 x 90.",3600,360,36000,"Both numbers are 10 times bigger, so the answer is 100 times bigger: 36 x 100 = 3600.","If both numbers scale by 10, the answer scales by 100.",,,,,,,
63,48f,48,2,No,"Given that 84 ÷ 12 = 7, work out 8400 ÷ 1200.",7,70,0.7,"Both numbers are scaled by the same factor (100), so the answer stays the same: 7.","If both numbers scale by the same amount, the answer doesn't change.",,,,,,,
64,48g,48,3,No,"Given that 5 x 8 = 40, work out 4000 ÷ 8.",500,50,5000,"4000 is 40 x 100, so 4000 ÷ 8 = 5 x 100 = 500.","Use the multiplication fact in reverse, scaled up.",,,,,,,
65,52a,52,3,No,Is 96 a multiple of 12?,Yes,No,Only if 12 is even,"12 x 8 = 96, so 96 is a multiple of 12.",Check whether the number divides exactly.,,,,,,,
66,52a,52,1,No,Is 42 a multiple of 7?,Yes,No,Only if 7 is even,"7 x 6 = 42, so 42 is a multiple of 7.",Check whether the number divides exactly.,,,,,,,
67,52a,52,1,No,Is 54 a multiple of 9?,Yes,No,Only if 9 is even,"9 x 6 = 54, so 54 is a multiple of 9.",Check whether the number divides exactly.,,,,,,,
68,52b,52,2,No,Is 45 a multiple of 15?,Yes,No,Only if 15 is odd,"15 x 3 = 45, so 45 is a multiple of 15.",Check whether the number divides exactly.,,,,,,,
69,52b,52,2,No,Is 68 a multiple of 17?,Yes,No,Only if 17 is odd,"17 x 4 = 68, so 68 is a multiple of 17.",Check whether the number divides exactly.,,,,,,,
70,52c,52,3,No,Write the first 4 multiples of 13.,"13, 26, 39, 52","13, 23, 33, 43","13, 26, 39","Multiply 13 by 1, 2, 3 and 4: 13, 26, 39, 52.","Multiply the number by 1, 2, 3, then 4.",,,,,,,
71,52c,52,1,No,Write the first 3 multiples of 11.,"11, 22, 33","11, 21, 31","1, 2, 3","Multiply 11 by 1, 2 and 3: 11, 22, 33.","Multiply the number by 1, 2, then 3.",,,,,,,
72,52c,52,1,No,Write the first 3 multiples of 9.,"9, 18, 27","9, 19, 29","1, 2, 3","Multiply 9 by 1, 2 and 3: 9, 18, 27.","Multiply the number by 1, 2, then 3.",,,,,,,
73,52d,52,2,No,List all the multiples of 6 between 20 and 40.,"24, 30, 36","24, 30, 36, 42","18, 24, 30, 36","Multiples of 6 in this range: 24, 30, 36.",List multiples of 6 and keep only the ones between 20 and 40.,,,,,,,
74,52d,52,2,No,List all the multiples of 8 between 10 and 50.,"16, 24, 32, 40, 48","16, 24, 32, 40, 48, 56","8, 16, 24, 32, 40, 48","Multiples of 8 in this range: 16, 24, 32, 40, 48.",List multiples of 8 and keep only the ones between 10 and 50.,,,,,,,
75,52d,52,3,No,List all the multiples of 7 between 30 and 60.,"35, 42, 49, 56","35, 42, 49","28, 35, 42, 49, 56","Multiples of 7 in this range: 35, 42, 49, 56.",List multiples of 7 and keep only the ones between 30 and 60.,,,,,,,
76,52d,52,3,No,List all the multiples of 9 between 15 and 55.,"18, 27, 36, 45, 54","18, 27, 36, 45","9, 18, 27, 36, 45, 54","Multiples of 9 in this range: 18, 27, 36, 45, 54.",List multiples of 9 and keep only the ones between 15 and 55.,,,,,,,
77,53a,53,3,No,Is 11 a factor of 132?,Yes,No,Only if 132 is odd,"132 ÷ 11 = 12 exactly, so 11 is a factor of 132.",Check whether the number divides in exactly.,,,,,,,
78,53a,53,1,No,Is 8 a factor of 56?,Yes,No,Only if 56 is even,"56 ÷ 8 = 7 exactly, so 8 is a factor of 56.",Check whether the number divides in exactly.,,,,,,,
79,53a,53,1,No,Is 9 a factor of 63?,Yes,No,Only if 63 is odd,"63 ÷ 9 = 7 exactly, so 9 is a factor of 63.",Check whether the number divides in exactly.,,,,,,,
80,53a,53,1,No,Is 6 a factor of 42?,Yes,No,Only if 42 is even,"42 ÷ 6 = 7 exactly, so 6 is a factor of 42.",Check whether the number divides in exactly.,,,,,,,
81,53a,53,1,No,Is 5 a factor of 38?,No,Yes,Only if 38 is odd,"38 ÷ 5 = 7.6, not exact, so 5 is not a factor of 38.",Check whether the number divides in exactly.,,,,,,,
82,53b,53,2,No,Find all the factor pairs of 24.,"(1,24), (2,12), (3,8), (4,6)","(1,24), (2,12), (3,8)","(1,24), (2,12), (3,8), (4,6), (5,7)","Test each number to see if it divides 24 exactly, pairing it with the result: 1x24, 2x12, 3x8, 4x6.","Start from 1 and work upward, stopping once the pairs start repeating.",,,,,,,
83,53b,53,2,No,Find all the factor pairs of 30.,"(1,30), (2,15), (3,10), (5,6)","(1,30), (2,15), (3,10)","(1,30), (2,15), (3,10), (5,6), (4,7)","Test each number to see if it divides 30 exactly, pairing it with the result: 1x30, 2x15, 3x10, 5x6.","Start from 1 and work upward, stopping once the pairs start repeating.",,,,,,,
84,53b,53,3,No,Find all the factor pairs of 48.,"(1,48),(2,24),(3,16),(4,12),(6,8)","(1,48),(2,24),(3,16),(4,12)","(1,48),(2,24),(3,16),(4,12),(6,8),(5,9)","Test each number to see if it divides 48 exactly: 1x48,2x24,3x16,4x12,6x8.","Start from 1 and work upward, stopping once the pairs start repeating.",,,,,,,
85,53c,53,2,No,List all the factors of 36.,"1, 2, 3, 4, 6, 9, 12, 18, 36","1, 2, 3, 4, 6, 9, 12, 18","1, 2, 3, 4, 6, 12, 18, 36","Testing each number from 1 to 36: 1,2,3,4,6,9,12,18,36 all divide exactly.",Work through the factor pairs systematically to make sure none are missed.,,,,,,,
86,53c,53,2,No,List all the factors of 40.,"1, 2, 4, 5, 8, 10, 20, 40","1, 2, 4, 5, 8, 10, 20","1, 2, 4, 5, 8, 10, 40","Testing each number from 1 to 40: 1,2,4,5,8,10,20,40 all divide exactly.",Work through the factor pairs systematically to make sure none are missed.,,,,,,,
87,53c,53,3,No,List all the factors of 60.,"1,2,3,4,5,6,10,12,15,20,30,60","1,2,3,4,5,6,10,12,15,20,30","1,2,3,4,5,6,12,15,20,30,60","Testing each number from 1 to 60 systematically gives 1,2,3,4,5,6,10,12,15,20,30,60.",Work through the factor pairs systematically to make sure none are missed.,,,,,,,
88,53c,53,3,No,42 chairs are arranged in equal rows. List all possible numbers of rows.,"1,2,3,6,7,14,21,42","1,2,3,6,7,14,21","1,2,3,6,7,21,42","The possible row numbers are the factors of 42: 1,2,3,6,7,14,21,42.",Find all the factors of the total number of chairs.,,,,,,,
89,54e,54,1,No,Write 5/5 as a whole number.,1,5,0,"When the numerator equals the denominator, the fraction equals 1.",A fraction equals 1 whenever the top and bottom numbers are the same.,,,,,,,
90,54e,54,1,No,Write 8/8 as a whole number.,1,8,0,"When the numerator equals the denominator, the fraction equals 1.",A fraction equals 1 whenever the top and bottom numbers are the same.,,,,,,,
91,54f,54,1,No,Write 6 as a fraction with a denominator of 1.,6/1,1/6,6/6,Any whole number can be written as itself over 1.,Put the whole number over 1.,,,,,,,
92,54f,54,1,No,Write 9 as a fraction with a denominator of 1.,9/1,1/9,9/9,Any whole number can be written as itself over 1.,Put the whole number over 1.,,,,,,,
93,54g,54,2,No,Write 4 as a fraction with a denominator of 5.,20/5,4/5,5/4,4 = 4 x 5/5 = 20/5.,Multiply the whole number by the denominator to find the numerator.,,,,,,,
94,54g,54,2,No,Write 3 as a fraction with a denominator of 4.,12/4,3/4,4/3,3 = 3 x 4/4 = 12/4.,Multiply the whole number by the denominator to find the numerator.,,,,,,,
95,54k,54,2,No,"Find the next two numbers in this sequence: 0, 2/7, 4/7, ...","6/7, 8/7","5/7, 6/7","8/7, 10/7","Each term increases by 2/7: 4/7+2/7=6/7, 6/7+2/7=8/7.","Work out the gap between terms, then add it on twice.",,,,,,,
96,54k,54,2,No,"Find the next two numbers in this sequence: 0, 3/8, 6/8, ...","9/8, 12/8","9/8, 10/8","12/8, 15/8","Each term increases by 3/8: 6/8+3/8=9/8, 9/8+3/8=12/8.","Work out the gap between terms, then add it on twice.",,,,,,,
97,54p,54,3,No,"Find the next two numbers in this sequence: 4/5, 7/5, 10/5, ...","'13/5, 16/5","'11/5, 13/5","'12/5, 14/5","Each term increases by 3/5: 10/5+3/5=13/5, 13/5+3/5=16/5.","Work out the gap between terms, then add it on twice.",,,,,,,
98,54p,54,3,No,"Find the next two numbers in this sequence: 5/6, 7/6, 9/6, ...","'11/6, 13/6","'10/6, 12/6","'11/6, 12/6","Each term increases by 2/6: 9/6+2/6=11/6, 11/6+2/6=13/6.","Work out the gap between terms, then add it on twice.",,,,,,,
99,54p,54,3,No,"Find the next two numbers in this sequence: 3/4, 5/4, 7/4, ...","'9/4, 11/4","'8/4, 9/4","'9/4, 10/4","Each term increases by 2/4: 7/4+2/4=9/4, 9/4+2/4=11/4.","Work out the gap between terms, then add it on twice.",,,,,,,
100,54p,54,3,No,"Find the next two numbers in this sequence: 2/3, 5/3, 8/3, ...","'11/3, 14/3","'9/3, 10/3","'10/3, 12/3","Each term increases by 3/3: 8/3+3/3=11/3, 11/3+3/3=14/3.","Work out the gap between terms, then add it on twice.",,,,,,,
101,59b,59,1,No,Convert 2 hours 15 minutes into minutes.,135 minutes,215 minutes,125 minutes,"2 hours = 120 minutes, plus 15 minutes = 135 minutes.","Multiply the hours by 60 first, then add the extra minutes.",,,,,,,
102,59b,59,3,No,Convert 3 hours 40 minutes into minutes.,220 minutes,340 minutes,200 minutes,"3 hours = 180 minutes, plus 40 minutes = 220 minutes.","Multiply the hours by 60 first, then add the extra minutes.",,,,,,,
103,59c,59,1,No,Convert 4 minutes into seconds.,240 seconds,60 seconds,400 seconds,4 x 60 = 240 seconds.,Multiply the minutes by 60.,,,,,,,
104,59d,59,2,No,Convert 5 weeks into days.,35 days,30 days,42 days,5 x 7 = 35 days.,Multiply the weeks by 7.,,,,,,,
105,59e,59,2,No,Convert 3 and 1/2 years into months.,42 months,36 months,40 months,"3 years = 36 months, plus half a year = 6 months, giving 42 months.","Multiply the whole years by 12, then add extra months for any fraction of a year.",,,,,,,
106,59f,59,1,No,Convert 180 minutes into hours.,3 hours,18 hours,30 hours,180 ÷ 60 = 3 hours.,Divide by 60 to find the hours.,,,,,,,
107,59g,59,1,No,Convert 100 minutes into hours and minutes.,1 hour 40 minutes,1 hour 60 minutes,10 hours 40 minutes,"100 ÷ 60 = 1 remainder 40, so 100 minutes = 1 hour 40 minutes.","Divide by 60 to find the whole hours, then see what's left over.",,,,,,,
108,59g,59,3,No,Convert 250 minutes into hours and minutes.,4 hours 10 minutes,4 hours 15 minutes,3 hours 70 minutes,"250 ÷ 60 = 4 remainder 10, so 250 minutes = 4 hours 10 minutes.",Divide by 60 to find the whole hours.,,,,,,,
109,59h,59,2,No,Convert 150 seconds into minutes and seconds.,2 minutes 30 seconds,1 minute 50 seconds,2 minutes 50 seconds,"150 ÷ 60 = 2 remainder 30, so 150 seconds = 2 minutes 30 seconds.",Divide by 60 to find the whole minutes.,,,,,,,
110,59i,59,3,No,Convert 100 days into weeks and days.,14 weeks 2 days,14 weeks 3 days,15 weeks 2 days,"100 ÷ 7 = 14 remainder 2, so 100 days = 14 weeks 2 days.",Divide by 7 to find the whole weeks.,,,,,,,
111,59i,59,2,No,Convert 24 days into weeks and days.,3 weeks 3 days,2 weeks 4 days,3 weeks 4 days,"24 ÷ 7 = 3 remainder 3, so 24 days = 3 weeks 3 days.",Divide by 7 to find the whole weeks.,,,,,,,
112,59j,59,3,No,Convert 54 months into years and months.,4 years 6 months,4 years 5 months,5 years 4 months,"54 ÷ 12 = 4 remainder 6, so 54 months = 4 years 6 months.",Divide by 12 to find the whole years.,,,,,,,
113,65a,65,1,No,"On a bar chart, what is usually shown on the vertical axis?",Frequency,The categories,The total,The vertical axis (height of each bar) shows how many times each category occurs,The height of a bar always represents a count,,,,,,,
114,65a,65,1,No,"On a bar chart, what is usually shown on the horizontal axis?",The categories being compared,Frequency,The total,The horizontal axis lists the different groups or values being counted,The bars are arranged side by side along this axis,,,,,,,
115,65a,65,1,No,"In a vertical line chart, what replaces the bars used in a bar chart?",Thin vertical lines,Dots,Horizontal lines,"Each bar's width is reduced to a single line, but the height still shows frequency",Think about what stays the same and what gets thinner,,,,,,,
116,65a,65,1,No,"In a vertical line chart, are the tops of the lines joined together?",No,Yes,Only sometimes,"Joining the tops would turn it into a line graph, which isn't appropriate here","A vertical line chart is a bar chart with thin lines, not a line graph",,,,,,,
117,65a,65,1,No,"For a bar chart of categorical data (like favourite colours), should the bars touch each other?",No,Yes,Only the first two,Gaps between bars show that each category is separate and distinct,"Categories aren't continuous, so there's a gap to reflect that",,,,,,,
118,65k,65,2,No,Why shouldn't the tops of the lines in a vertical line chart be joined together?,It would wrongly suggest a continuous trend between separate values,It would make the chart too colourful,It would make the lines too thin to see,"Joining the tops implies the values flow into each other, which isn't true for this type of data",Think about what a joined line usually represents on a graph,,,,,,,
119,65l,65,2,No,"For a bar chart of continuous grouped data (like height ranges), should the bars touch each other?",Yes,No,Only the middle ones,"No gaps are used, since the data flows continuously from one group to the next",Continuous data has no natural gaps between groups,,,,,,,
120,66a,66,3,No,"7☐ x 8 = 632, find the missing digit.",9,8,7,"632 ÷ 8 = 79, so the missing digit is 9.",Divide the answer by 8 to reconstruct the original number.,,,,,,,
121,66a,66,1,No,47 x 6 =,282,272,242,"6x7=42, write 2 carry 4. 6x4=24, plus the carried 4 is 28. Answer: 282.","Multiply the units first, then carry into the tens.",,,,,,,
122,66a,66,1,No,38 x 7 =,266,256,246,"7x8=56, write 6 carry 5. 7x3=21, plus carried 5 is 26. Answer: 266.","Multiply the units first, then carry into the tens.",,,,,,,
123,66a,66,1,No,56 x 4 =,224,214,234,"4x6=24, write 4 carry 2. 4x5=20+2=22. Answer: 224.","Multiply the units first, then carry into the tens.",,,,,,,
124,66b,66,1,No,124 x 6 =,744,734,754,"6x4=24, write 4 carry 2. 6x2=12+2=14, write 4 carry 1. 6x1=6+1=7. Answer: 744.","Multiply each digit from right to left, carrying as needed.",,,,,,,
125,66b,66,2,No,342 x 8 =,2736,2726,2746,"Multiply each digit by 8 from right to left, carrying as needed: 342x8=2736.","Work right to left, carrying between each column.",,,,,,,
126,66c,66,2,No,4256 x 7 =,29792,29692,28792,"Multiply each digit by 7 from right to left, carrying as needed: 4256 x 7 = 29792.","Work right to left, carrying between each column.",,,,,,,
127,66c,66,2,No,5127 x 6 =,30762,30752,30772,"Multiply each digit by 6 from right to left, carrying as needed: 5127x6=30762.","Work right to left, carrying between each column.",,,,,,,
128,66c,66,3,No,8642 x 9 =,77778,77768,77788,"Multiply each digit by 9 from right to left, carrying as needed: 8642x9=77778.","Work right to left, carrying between each column.",,,,,,,
129,66d,66,3,No,"3☐2 x 4 = 1328, find the missing digit.",3,2,4,"1328 ÷ 4 = 332, so the missing digit in the tens place is 3.",Divide the answer by 4 to reconstruct the original number.,,,,,,,
130,66d,66,2,No,"2☐3 x 5 = 1265, find the missing digit.",5,4,6,"1265 ÷ 5 = 253, so the missing digit in the tens place is 5.",Divide the answer by 5 to reconstruct the original number.,,,,,,,
131,66d,66,3,No,"6☐1 x 7 = 4557, find the missing digit.",5,4,6,"4557 ÷ 7 = 651, so the missing digit in the tens place is 5.",Divide the answer by 7 to reconstruct the original number.,,,,,,,
132,67a,67,1,No,34 x 26 =,884,794,864,"34x6=204, 34x20=680, 204+680=884.","Multiply by the units digit first, then by the tens digit, then add.",,,,,,,
133,67a,67,1,No,27 x 34 =,918,908,928,"27x4=108, 27x30=810, 108+810=918.","Multiply by the units digit first, then by the tens digit, then add.",,,,,,,
134,67a,67,1,No,52 x 18 =,936,926,946,"52x8=416, 52x10=520, 416+520=936.","Multiply by the units digit first, then by the tens digit, then add.",,,,,,,
135,67b,67,1,No,213 x 14 =,2982,2972,2992,"213x4=852, 213x10=2130, 852+2130=2982.","Split the 2-digit number into tens and units, multiply separately, then add.",,,,,,,
136,67b,67,2,No,356 x 27 =,9612,9602,9622,"356x7=2492,",,,,,,,,
